Num,Title,Authors,Venue Abrev.,Venue,Field,Year,Preprocessing,Dimensionality Reduction,Quantitative Evaluation,Visualization,inaccuate,suboptimal,unstable,uninterpretable,unscalable,incomplete,irrefective,uninformed,Enhance reliability,Enhance awareness,Enhance Approchability,Improvements on DR,Improvements of Evaluation,Visualization Stage Solutions,DR framework,Visual Analytics System,Literature Review,Human-Centered Experiment,Computaional Experiment,FirstAuthor,BibIdentifier,FirstAuthorBib,Order,Group,GroupName,DOI,Citations
12,Supervised nonlinear dimensionality reduction for visualization and classification,"X. Geng, D. C. Zhan, and Z. H. Zhou",TSMC,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",Multidisciplinary,2005,,3,,,,,,,,3,,,3,,,3,,,,,,,,Geng et al.,geng05tsmc,Geng et al. \cite{geng05tsmc},10,3,Creator,,585
24,Two-Stage Framework for Visualization of Clustered High Dimensional Data,"J. Choo, S. Bohn, and H. Park",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2009,,3,,,,3,,,,,,,3,,,,,,3,,,,,Choo et al.,choo09vast,Choo et al. \cite{choo09vast},11,3,Creator,,67
53,A Structure-Based Distance Metric for High-Dimensional Space Exploration with Multidimensional Scaling,J. H. Lee; K. T. McDonnell; A. Zelenyuk; D. Imre; K. Mueller,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2014,,3,,,,3,,,,,,,3,,,,,,3,,,,,Lee et al.,lee14tvcg,Lee et al. \cite{lee14tvcg},12,3,Creator,,63
94,SolarView: Low Distortion Radial Embedding with a Focus,T. Castermans; K. Verbeek; B. Speckmann; M. A. Westenberg; R. Koopman; S. Wang; H. van den Berg; A. Betti,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2019,,3,,,3,,,,,,,3,3,,,3,,,,,,,,Castermans et al.,castermans19tvcg,Castermans et al. \cite{castermans19tvcg},13,3,Creator,,9
46,Orthographic star coordinates,D. J. Lehmann and H. Theisel,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2013,,3,,,3,,,,,,,,3,,,3,,,,,,,,Lehmann and Theisel,lehmann13tvcg,Lehmann and Theisel \cite{lehmann13tvcg},14,3,Creator,,55
124,Uniform manifold approximation with two-phase optimization,"H. Jeon, H.-K. Ko, S. Lee, J. Jo, and J. Seo",VIS,IEEE Visualization Conference,Visualization and Visual Analytics,2022,,3,,,3,3,,,,,,,3,,,3,,,,,,,,Jeon et al.,jeon22vis,Jeon et al. \cite{jeon22vis},15,3,Creator,,8
15,Dd-hds: A method for visualization and exploration of high-dimensional data,"S. Lespinats, M. Verleysen, A. Giron, and B. Fertil",TNN,IEEE Transactions on Neural Networks,Machine Learning and Artificial Intelligence,2007,,3,,,,3,,,3,,,,3,,,3,,,,,,,,Lespinats et al.,lespinats07tnn,Lespinats et al. \cite{lespinats07tnn},16,3,Creator,,102
98,RadViz++: Improvements on radial-based visualizations,L. d. C. Pagliosa and A. C. Telea,Informatics,"Informatics, 2019",Machine Learning and Artificial Intelligence,2019,,3,,,,,,,3,,,,3,,,3,,,,,,,,Pagliosa and Telea,pagliosa19informatics,Pagliosa and Telea \cite{pagliosa19informatics},17,3,Creator,,10
115,Hct-sne: Hierarchical constraints with t-sne,"V. M. Vu, A. Bibal, and B. Frénay",IJCNN,2021 International Joint Conference on Neural Networks,Machine Learning and Artificial Intelligence,2021,,3,,,,3,,,,,3,,3,,,3,,,,,,,,Vu et al.,vu21ijcnn,Vu et al. \cite{vu21ijcnn},18,3,Creator,,5
86,A perception-driven approach to supervised dimensionality reduction for visualization,"Y. Wang, K. Feng, X. Chu, J. Zhang, C.-W. Fu, M. Sedlmair, X. Yu, and B. Chen",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2018,,3,,,,3,,,,,,,3,,,3,3,,,,,,,Wang et al.,wang18tvcg,Wang et al. \cite{wang18tvcg},19,3,Creator,,68
69,Loch: A neighborhood-based multidimensional projection technique for highdimensional sparse spaces,"S. G. Fadel, F. M. Fatore, F. S. Duarte, and F. V. Paulovich",Neurocomp,Neurocomputing,Machine Learning and Artificial Intelligence,2015,,3,,,,3,3,,,,,,3,,,3,,,,,,,,Fadel et al.,fadel15neurocomp,Fadel et al. \cite{fadel15neurocomp},20,3,Creator,,39
130,Class-Constrained t-SNE: Combining Data Features and Class Probabilities,L. Meng; S. van den Elzen; N. Pezzotti; A. Vilanova,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2024,,3,,,,3,,,,,,,3,,,3,,,,,,,,Meng et al.,meng24tvcg,Meng et al. \cite{meng24tvcg},21,3,Creator,,5
110,Spanning Trees as Approximation of Data Structures,D. Alcaide; J. Aerts,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,,,,3,,,,,,,3,,,3,,,,,,,,Alcaide and Aerts,alcaide21tvcg,Alcaide and Aerts \cite{alcaide21tvcg},22,3,Creator,,5
106,Density-preserving data visualization unveils dynamic patterns of single-cell transcriptomic variability,"A. Narayan, B. Berger, and H. Cho",bioRxiv,bioRxiv,Preprints,2020,,3,,,,3,,,,,,,3,,,3,,,,,,,,Narayan et al.,narayan20biorxiv,Narayan et al. \cite{narayan20biorxiv},23,3,Creator,,44
96,Class-aware t-SNE: cat-SNE,"C. de Bodt, D. Mulders, D. L. Sánchez, M. Verleysen, and J. A. Lee",ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",Visualization and Visual Analytics,2019,,3,,,,3,,,,,,,3,,,3,,,,,,,,De bodt et al.,debodt19esann,De bodt et al. \cite{debodt19esann},24,3,Creator,,19
95,A new supervised t-sne with dissimilarity measure for effective data visualization and classification,"L. Hajderanj, I. Weheliye, and D. Chen",ICSIE,Proceedings of the 8th International Conference on Software and Information Engineering,Visualization and Visual Analytics,2019,,3,,,,3,,,,,,,3,,,3,,,,,,,,Hajderanj et al.,hajderanj19icsie,Hajderanj et al. \cite{hajderanj19icsie},25,3,Creator,,27
93,Shape-preserving Star Coordinates,V. Molchanov; L. Linsen,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2019,,3,,,,3,,,,,,,3,,,3,,,,,,,,Molchanov and Linsen,molchanov19tvcg,Molchanov and Linsen \cite{molchanov19tvcg},26,3,Creator,,6
8,Global versus local methods in nonlinear dimensionality reduction,V. de Silva and J. B. Tenenbaum,NeurIPS,Advances in Neural Information Processing Systems 15,Machine Learning and Artificial Intelligence,2002,,3,,,,3,,,,,,,3,,,3,,,,,,,,De silva and Tenenbaum,desilva02neurips,De silva and Tenenbaum \cite{desilva02neurips},27,3,Creator,,1269
7,Nonlinear dimensionality reduction by locally linear embedding,S. T. Roweis and L. K. Saul,Science,Science Magazine of the American Association for the Advancement of Science,Multidisciplinary,2000,,3,,,,3,,,,,,,3,,,3,,,,,,,,Roweis and Saul,roweis00science,Roweis and Saul \cite{roweis00science},28,3,Creator,,18706
1,A projection pursuit algorithm for exploratory data analysis,J. H. Friedman and J. W. Tukey,TC,IEEE Transactions on Computers,Multidisciplinary,1974,,3,,,,3,,,,,,,3,,,3,,,,,,,,Friedman and Tukey,friedman74tc,Friedman and Tukey \cite{friedman74tc},29,3,Creator,,2728
5,A global geometric framework for nonlinear dimensionality reduction,"J. B. Tenenbaum, V. de Silva, and J. C. Langford",Science,Science Magazine of the American Association for the Advancement of Science,Multidisciplinary,2000,,3,,,,3,,,,,,,3,,,3,,,,,,,,Tenenbaum et al.,tenenbaum00science,Tenenbaum et al. \cite{tenenbaum00science},30,3,Creator,,17059
26,Information retrieval perspective to nonlinear dimensionality reduction for data visualization,"J. Venna, J. Peltonen, K. Nybo, H. Aidos, and S. Kaski",jmlr,Journal of Machine Learning Research,Machine Learning and Artificial Intelligence,2010,,3,3,,,3,,,,,,,3,3,,3,,,,,,,,Venna et al.,venna10jmlr,Venna et al. \cite{venna10jmlr},31,3,Creator,,391
38,Shift-invariant similarities circumvent distance concentration in stochastic neighbor embedding and variants,J. A. Lee and M. Verleysen,PCS,Procedia Computer Science,Visualization and Visual Analytics,2011,,3,,,,3,,,3,,,,3,3,,3,,,,,3,,,Lee and Verleysen,lee11pcs,Lee and Verleysen \cite{lee11pcs},32,3,Creator,,41
105,Comparing and exploring high-dimensional data with dimensionality reduction algorithms and matrix visualizations,"R. Cutura, M. Aupetit, J.-D. Fekete, and M. Sedlmair",AVI,Proceedings of the International Conference on Advanced Visual Interfaces,Human-Computer Interaction,2020,,3,,3,,3,3,,3,,,,3,3,3,,,3,,,,,,Cutura et al.,cutura20avi,Cutura et al. \cite{cutura20avi},33,3,Creator,,18
36,Observation-level interaction with statistical models for visual analytics,"A. Endert, C. Han, D. Maiti, L. House, and C. North",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2011,,3,,3,,,,,,,3,,3,,3,,,3,,,,,,Endert et al.,endert11vast,Endert et al. \cite{endert11vast},34,3,Creator,,185
70,Visual exploration of high-dimensional data through subspace analysis and dynamic projections,"S. Liu, B. Wang, J. J. Thiagarajan, P.-T. Bremer, and V. Pascucci",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2015,,3,,3,,,,,3,3,,,3,,3,,,3,,,,,,Liu et al.,liu15cgf,Liu et al. \cite{liu15cgf},35,3,Creator,,51
83,Pattern Trails: Visual analysis of pattern transitions in subspaces,"D. Jackle, M. Hund, M. Behrisch, D. A. Keim, and T. Schreck",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2017,,3,,3,,,,,3,,,,3,,3,,,3,,,,,,Jackle et al.,jackle17vast,Jackle et al. \cite{jackle17vast},36,3,Creator,,22
85,Visual Exploration of Semantic Relationships in Neural Word Embeddings,S. Liu; P. -T. Bremer; J. J. Thiagarajan; V. Srikumar; B. Wang; Y. Livnat; V. Pascucci,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2018,,3,,3,,3,,,,3,,,3,,3,3,,,,3,,,,Liu et al.,liu18tvcg,Liu et al. \cite{liu18tvcg},37,3,Creator,,134
108,Implicit Multidimensional Projection of Local Subspaces,R. Bian; Y. Xue; L. Zhou; J. Zhang; B. Chen; D. Weiskopf; Y. Wang,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,,3,,3,,,,3,,,3,,,,,3,,,,,,Bian et al.,bian21tvcg,Bian et al. \cite{bian21tvcg},38,3,Creator,,13
66,Extending dimensions in RadViz based on mean shift,"F. Zhou, Wei Huang, Juncai Li, Yezi Huang, Yang Shi, and Ying Zhao",PacificVis,IEEE Pacific Visualization Symposium,Visualization and Visual Analytics,2015,,3,,,3,,3,,,,,,,,3,3,3,3,,,,,,Zhou et al.,zhou15pacificvis,Zhou et al. \cite{zhou15pacificvis},39,3,Creator,,29
39,iLAMP: Exploring high-dimensional spacing through backward multidimensional projection,E. P. dos Santos Amorim; E. V. Brazil; J. Daniels; P. Joia; L. G. Nonato; M. C. Sousa,VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2012,,3,,3,,,,3,,,,,3,,3,3,,3,,,,,,Dos santos amorim et al.,dossantosamorim12vast,Dos santos amorim et al. \cite{dossantosamorim12vast},40,3,Creator,,72
56,Axis calibration for improving data attribute estimation in star coordinates plots,M. Rubio-Sanchez and A. Sanchez,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2014,,3,,,,,,3,,,,,3,,3,3,,,,,,,,Rubio-sanchez and Sanchez,rubio-sanchez14tvcg,Rubio-sanchez and Sanchez \cite{rubio-sanchez14tvcg},41,3,Creator,,27
45,Explainers: Expert explorations with crafted projections,M. Gleicher,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2013,,3,,,,,,,,3,3,,,,3,3,,,,,,,,Gleicher,gleicher13tvcg,Gleicher \cite{gleicher13tvcg},42,3,Creator,,97
87,Exploring high-dimensional data through locally enhanced projections,"C. Lai, Y. Zhao, and X. Yuan",VLC,Journal of Visual Languages & Computing,Machine Learning and Artificial Intelligence,2018,,3,,,,,,,,3,3,,,,3,3,,,,,,,,Lai et al.,lai18vlc,Lai et al. \cite{lai18vlc},43,3,Creator,,8
88,"Fast, visual and interactive semisupervised dimensionality reduction","D. Spathis, N. Passalis, and A. Tefas",ECCV,European Conference on Computer Vision,Visualization and Visual Analytics,2018,,3,,,,,,,,,3,,,,3,3,,3,,,,,,Spathis et al.,spathis18eccv,Spathis et al. \cite{spathis18eccv},44,3,Creator,,8
127,Interactive Visual Cluster Analysis by Contrastive Dimensionality Reduction,J. Xia; L. Huang; W. Lin; X. Zhao; J. Wu; Y. Chen; Y. Zhao; W. Chen,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2023,,3,,,3,,,,,,3,,3,,3,3,,3,,,,,,Xia et al.,xia23tvcg,Xia et al. \cite{xia23tvcg},45,3,Creator,,24
34,Piece wise Laplacian-based Projection for Interactive Data Exploration and Organization,"Paulovich, F.V.; Eler, D.M.; Poco, J.; Botha, C.P.; Minghim, R.; Nonato, L.G.",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2011,,3,,,,,,,,,3,,3,,3,3,,3,,,,,,Paulovich et al.,paulovich11cgf,Paulovich et al. \cite{paulovich11cgf},46,3,Creator,,113
35,Local affine multidimensional projection,"P. Joia, D. Coimbra, J. A. Cuminato, F. V. Paulovich, and L. G. Nonato",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2011,,3,,,,,,,,,3,,3,,3,3,,3,,,,,,Joia et al.,joia11tvcg,Joia et al. \cite{joia11tvcg},47,3,Creator,,342
129,ZADU: A Python Library for Evaluating the Reliability of Dimensionality Reduction Embeddings,H. Jeon; A. Cho; J. Jang; S. Lee; J. Hyun; H. -K. Ko; J. Jo; J. Seo,VIS,2023 IEEE Visualization and Visual Analytics,Visualization and Visual Analytics,2023,,,3,,,,,,,,,3,,,3,,3,,,,3,,,Jeon et al.,jeon23vis,Jeon et al. \cite{jeon23vis},48,0,Seeker,,4
117,Using multiple attribute-based explanations of multidimensional projections to explore high-dimensional data,"Z. Tian, X. Zhai, D. van Driel, G. van Steenpaal, M. Espadoto, and A. Telea",CG,Computers & Graphics,Visualization and Visual Analytics,2021,,,3,,,,,,3,,,,3,,,,,3,,,,,,Tian et al.,tian21cg,Tian et al. \cite{tian21cg},49,0,Seeker,,17
23,Selecting good views of high-dimensional data using class consistency,"M. Sips, B. Neubert, J. Lewis, and P. Hanrahan",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2009,,3,,,3,,,,,3,,,3,,,,3,,,,,,,Sips et al.,sips09cgf,Sips et al. \cite{sips09cgf},50,0,Seeker,,243
14,VizRank: Data visualization guided by machine learning,"G. Leban, B. Zupan, G. Vidmar, and I. Bratko",DMKD,Data Mining and Knowledge Discovery,Data Mining,2006,,3,,,,,,,3,,,,3,3,,,3,,,,,,,Leban et al.,leban06dmkd,Leban et al. \cite{leban06dmkd},51,0,Seeker,,128
67,Graph-based measures to assist user assessment of multidimensional projections,"R. Motta, R. Minghim, A. de Andrade Lopes, and M. C. F. Oliveira",Neurocomp,Neurocomputing,Machine Learning and Artificial Intelligence,2015,,3,3,,,,,,,3,,,3,3,,,3,,,,,,,Motta et al.,motta15neurocomp,Motta et al. \cite{motta15neurocomp},52,0,Seeker,,47
79,Agreement analysis of quality measures for dimensionality reduction,B. Rieck and H. Leitte,TMDAV,Topological Methods in Data Analysis and Visualization IV,Visualization and Visual Analytics,2017,,,3,,,,3,,,,,3,3,,,,3,,3,,,,,Rieck and Leitte,rieck17tmdav,Rieck and Leitte \cite{rieck17tmdav},53,0,Seeker,,22
61,Persistent Homology for the Evaluation of Dimensionality Reduction Schemes,"Rieck, B.; Leitte, H.",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2015,,,3,,,3,,,,,,,,3,,,3,,,,,,,Rieck et al.,rieck15cgf,Rieck et al. \cite{rieck15cgf},54,0,Seeker,,77
28,Scale-independent quality criteria for dimensionality reduction,J. A. Lee and M. Verleysen,PRL,Pattern Recognition Letters,Machine Learning and Artificial Intelligence,2010,,,3,,,3,3,,,,,,3,3,,,3,,,,,,,Lee and Verleysen,lee10prl,Lee and Verleysen \cite{lee10prl},55,0,Seeker,,109
37,Perception-based visual quality measures,"G. Albuquerque, M. Eisemann, and M. Magnor",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2011,,,3,,,3,,,,,,,3,,,,3,,,,,,,Albuquerque et al.,albuquerque11vast,Albuquerque et al. \cite{albuquerque11vast},56,0,Seeker,,72
118,Effectiveness Error: Measuring and Improving RadViz Visual Effectiveness,M. Angelini; G. Blasilli; S. Lenti; A. Palleschi; G. Santucci,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2022,,,3,,3,,3,,,,,,3,,,3,3,,,,,,,Angelini et al.,angelini22tvcg,Angelini et al. \cite{angelini22tvcg},57,0,Seeker,,9
119,Measuring and Explaining the Inter-Cluster Reliability of Multidimensional Projections,H. Jeon; H. -K. Ko; J. Jo; Y. Kim; J. Seo,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,3,,3,3,,,,,,,3,3,,,3,,,,,,,Jeon et al.,jeon21tvcg,Jeon et al. \cite{jeon21tvcg},58,0,Seeker,,15
0,Multidimensional scaling by optimizing goodness of fit to a nonmetric hypothesis,J.B. KRUSKAL,Psycho,Psychometrika,Statistics,1964,,,3,,3,,,,,,,,3,,,,3,,,,,,,Kruskal,kruskal64psycho,Kruskal \cite{kruskal64psycho},59,0,Seeker,,10386
58,Sanity check for class-coloring-based evaluation of dimension reduction techniques,M. Aupetit,BELIV,Proceedings of the Fifth Workshop on Beyond Time and Errors: Novel Evaluation Methods for Visualization,Visualization and Visual Analytics,2014,,,3,,3,,,,,,,3,3,3,,,3,,,,,,,Aupetit,aupetit14beliv,Aupetit \cite{aupetit14beliv},60,0,Seeker,,24
131,Classes are Not Clusters: Improving Label-Based Evaluation of Dimensionality Reduction,H. Jeon; Y. -H. Kuo; M. Aupetit; K. -L. Ma; J. Seo,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2024,,,3,,3,,,,,,,,3,3,,,3,,,,,,,Jeon et al.,jeon24tvcg,Jeon et al. \cite{jeon24tvcg},61,0,Seeker,,4
128,Interpreting High-Dimensional Projections With Capacity,Y. Zhang; J. Liu; C. Lai; Y. Zhou; S. Chen,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2023,,,3,,,3,,,,,,,3,,3,,,,,3,,,,Zhang et al.,zhang23tvcg,Zhang et al. \cite{zhang23tvcg},62,0,Seeker,,0
18,Interactive Dimensionality Reduction Through User-defined Combinations of Quality Metrics,S. Johansson; J. Johansson,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2009,,,3,,,,,,,3,3,,3,,3,,3,,,3,,,,Johansson and Johansson,johansson09tvcg,Johansson and Johansson \cite{johansson09tvcg},63,0,Seeker,,184
25,Improving the visual analysis of high-dimensional datasets using quality measures,"G. Albuquerque, M. Eisemann, D. J. Lehmann, H. Theisel, and M. Magnor",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2010,,,3,3,,,,,,3,,,3,,,,3,,,,,,,Albuquerque et al.,albuquerque10vast,Albuquerque et al. \cite{albuquerque10vast},64,0,Seeker,,80
44,Empirical guidance on scatterplot and dimension reduction technique choices,"M. Sedlmair, T. Munzner, and M. Tory",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2013,,,,3,,,,,,,,3,,3,,,,,,,,3,,Sedlmair et al.,sedlmair13tvcg,Sedlmair et al. \cite{sedlmair13tvcg},65,2,Instructor,,231
13,Local multidimensional scaling,J. Venna and S. Kaski,NN,Neural Networks,Machine Learning and Artificial Intelligence,2006,,3,,,,3,,,,,,,,3,,3,,,,,,,3,Venna and Kaski,venna06nn,Venna and Kaski \cite{venna06nn},66,2,Instructor,,374
49,Stability comparison of dimensionality reduction techniques attending to data and parameter variations,"F. J. García Fernández, M. Verleysen, J. A. Lee, I. Díaz Blanco, et al.",VAMP,"Proc. Workshop on Visual Analytics using Multidimensional Projections, VAMP ’13",Visualization and Visual Analytics,2013,3,3,,,,3,3,,,,,,,3,,,,,,,,,3,García fernández et al.,garcíafernández13vamp,García fernández et al. \cite{garcíafernández13vamp},67,2,Instructor,,28
78,A survey of dimensionality reduction techniques based on random projection,"H. Xie, J. Li, and H. Xue",arXiv,arXiv:1706.04371 [cs.LG],Machine Learning and Artificial Intelligence,2017,3,3,,,3,,3,,,,,3,,3,,,,,,,3,,,Xie et al.,xie17arxiv,Xie et al. \cite{xie17arxiv},68,2,Instructor,,72
116,Initialization is critical for preserving global data structure in both t-SNE and UMAP,D. Kobak and G. C. Linderman,NB,Nature Biotechnology,Multidisciplinary,2021,,3,,,,,3,,,,,3,,3,,3,,,,,,,,Kobak and Linderman,kobak21nb,Kobak and Linderman \cite{kobak21nb},69,2,Instructor,,248
104,A comparative user study of visualization techniques for cluster analysis of multidimensional data sets,E. Ventocilla and M. Riveiro,IVIS,Information Visualization,Visualization and Visual Analytics,2020,,3,,,,3,3,,,,,3,,3,,,,,,,,3,,Ventocilla and Riveiro,ventocilla20ivis,Ventocilla and Riveiro \cite{ventocilla20ivis},70,2,Instructor,,23
120,Revisiting Dimensionality Reduction Techniques for Visual Cluster Analysis: An Empirical Study,J. Xia; Y. Zhang; J. Song; Y. Chen; Y. Wang; S. Liu,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2022,,3,,,,,,,,,,3,,3,,,,,,,,3,,Xia et al.,xia22tvcg,Xia et al. \cite{xia22tvcg},71,2,Instructor,,51
92,"Multidimensional Projection for Visual Analytics: Linking Techniques with Distortions, Tasks, and Layout Enrichment",L. G. Nonato; M. Aupetit,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2019,,3,3,3,,,,,,,,3,,3,,,,,,,3,,,Nonato and Aupetit,nonato19tvcg,Nonato and Aupetit \cite{nonato19tvcg},72,2,Instructor,,268
68,"Linear dimensionality reduction: Survey, insights, and generalizations",J. Cunningham and Z. Ghahramani,jmlr,"Journal of Machine Learning Research, Volume 16, Issue 1",Machine Learning and Artificial Intelligence,2015,,3,,,,,,,,,,3,,3,,3,,,,,3,,,Cunningham and Ghahramani,cunningham15jmlr,Cunningham and Ghahramani \cite{cunningham15jmlr},73,2,Instructor,,756
40,A survey of dimension reduction methods for high-dimensional data analysis and visualization,"D. Engel, L. Huttenberger, and B. Hamann",IRTG,Proceedings of IRTG,Visualization and Visual Analytics,2012,,3,,,,3,,,,,,3,,3,,,,,,,3,,,Engel et al.,engel12irtg,Engel et al. \cite{engel12irtg},74,2,Instructor,,140
55,A survey of dimensionality reduction techniques,"C. O. S. Sorzano, J. Vargas, and A. Pascual-Montano",arXiv,arXiv:1403.2877 [stat.ML],Preprints,2014,,3,,,,,,,,,,3,,3,,,,,,,3,,3,Sorzano et al.,sorzano14arxiv,Sorzano et al. \cite{sorzano14arxiv},75,2,Instructor,,515
64,Data visualization by nonlinear dimensionality reduction,A. Gisbrecht and B. Hammer,dmkd,WIREs Data Mining and Knowledge Discovery,Data Mining,2015,,3,,,,,,,,,,3,,3,,,,,,,3,,,Gisbrecht and Hammer,gisbrecht15dmkd,Gisbrecht and Hammer \cite{gisbrecht15dmkd},76,2,Instructor,,99
