Num,Title,Authors,Venue Abrev.,Venue,Field,Year,Preprocessing,Dimensionality Reduction,Quantitative Evaluation,Visualization,inaccuate,suboptimal,unstable,uninterpretable,unscalable,incomplete,irrefective,uninformed,Enhance reliability,Enhance awareness,Enhance Approchability,Improvements on DR,Improvements of Evaluation,Visualization Stage Solutions,DR framework,Visual Analytics System,Literature Review,Human-Centered Experiment,Computaional Experiment,FirstAuthor,BibIdentifier,FirstAuthorBib,Order,Group,GroupName,doi
56,Axis calibration for improving data attribute estimation in star coordinates plots,M. Rubio-Sanchez and A. Sanchez,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2014,,3,,,,,,3,,,,,3,,3,3,,,,,,,,Rubio-sanchez and Sanchez,rubio-sanchez14tvcg,Rubio-sanchez and Sanchez \cite{rubio-sanchez14tvcg},41,3,Creator,10.1109/tvcg.2014.2346258
45,Explainers: Expert explorations with crafted projections,M. Gleicher,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2013,,3,,,,,,,,3,3,,,,3,3,,,,,,,,Gleicher,gleicher13tvcg,Gleicher \cite{gleicher13tvcg},42,3,Creator,10.1109/tvcg.2013.157
87,Exploring high-dimensional data through locally enhanced projections,"C. Lai, Y. Zhao, and X. Yuan",VLC,Journal of Visual Languages & Computing,Machine Learning and Artificial Intelligence,2018,,3,,,,,,,,3,3,,,,3,3,,,,,,,,Lai et al.,lai18vlc,Lai et al. \cite{lai18vlc},43,3,Creator,10.1016/j.jvlc.2018.08.006
88,"Fast, visual and interactive semisupervised dimensionality reduction","D. Spathis, N. Passalis, and A. Tefas",ECCV,European Conference on Computer Vision,Visualization and Visual Analytics,2018,,3,,,,,,,,,3,,,,3,3,,3,,,,,,Spathis et al.,spathis18eccv,Spathis et al. \cite{spathis18eccv},44,3,Creator,10.4018/9781609601027.ch004
127,Interactive Visual Cluster Analysis by Contrastive Dimensionality Reduction,J. Xia; L. Huang; W. Lin; X. Zhao; J. Wu; Y. Chen; Y. Zhao; W. Chen,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2023,,3,,,3,,,,,,3,,3,,3,3,,3,,,,,,Xia et al.,xia23tvcg,Xia et al. \cite{xia23tvcg},45,3,Creator,10.1109/tvcg.2022.3209423
34,Piece wise Laplacian-based Projection for Interactive Data Exploration and Organization,"Paulovich, F.V.; Eler, D.M.; Poco, J.; Botha, C.P.; Minghim, R.; Nonato, L.G.",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2011,,3,,,,,,,,,3,,3,,3,3,,3,,,,,,Paulovich et al.,paulovich11cgf,Paulovich et al. \cite{paulovich11cgf},46,3,Creator,10.1111/j.1467-8659.2011.01958.x
35,Local affine multidimensional projection,"P. Joia, D. Coimbra, J. A. Cuminato, F. V. Paulovich, and L. G. Nonato",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2011,,3,,,,,,,,,3,,3,,3,3,,3,,,,,,Joia et al.,joia11tvcg,Joia et al. \cite{joia11tvcg},47,3,Creator,10.1109/tvcg.2011.220
129,ZADU: A Python Library for Evaluating the Reliability of Dimensionality Reduction Embeddings,H. Jeon; A. Cho; J. Jang; S. Lee; J. Hyun; H. -K. Ko; J. Jo; J. Seo,VIS,2023 IEEE Visualization and Visual Analytics,Visualization and Visual Analytics,2023,,,3,,,,,,,,,3,,,3,,3,,,,3,,,Jeon et al.,jeon23vis,Jeon et al. \cite{jeon23vis},48,0,Seeker,10.1109/vis54172.2023.00048
117,Using multiple attribute-based explanations of multidimensional projections to explore high-dimensional data,"Z. Tian, X. Zhai, D. van Driel, G. van Steenpaal, M. Espadoto, and A. Telea",CG,Computers & Graphics,Visualization and Visual Analytics,2021,,,3,,,,,,3,,,,3,,,,,3,,,,,,Tian et al.,tian21cg,Tian et al. \cite{tian21cg},49,0,Seeker,10.1016/j.cag.2021.04.034
23,Selecting good views of high-dimensional data using class consistency,"M. Sips, B. Neubert, J. Lewis, and P. Hanrahan",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2009,,3,,,3,,,,,3,,,3,,,,3,,,,,,,Sips et al.,sips09cgf,Sips et al. \cite{sips09cgf},50,0,Seeker,10.1111/j.1467-8659.2009.01467.x
14,VizRank: Data visualization guided by machine learning,"G. Leban, B. Zupan, G. Vidmar, and I. Bratko",DMKD,Data Mining and Knowledge Discovery,Data Mining,2006,,3,,,,,,,3,,,,3,3,,,3,,,,,,,Leban et al.,leban06dmkd,Leban et al. \cite{leban06dmkd},51,0,Seeker,10.1007/s10618-005-0031-5
67,Graph-based measures to assist user assessment of multidimensional projections,"R. Motta, R. Minghim, A. de Andrade Lopes, and M. C. F. Oliveira",Neurocomp,Neurocomputing,Machine Learning and Artificial Intelligence,2015,,3,3,,,,,,,3,,,3,3,,,3,,,,,,,Motta et al.,motta15neurocomp,Motta et al. \cite{motta15neurocomp},52,0,Seeker,10.1016/j.neucom.2014.09.063
79,Agreement analysis of quality measures for dimensionality reduction,B. Rieck and H. Leitte,TMDAV,Topological Methods in Data Analysis and Visualization IV,Visualization and Visual Analytics,2017,,,3,,,,3,,,,,3,3,,,,3,,3,,,,,Rieck and Leitte,rieck17tmdav,Rieck and Leitte \cite{rieck17tmdav},53,0,Seeker,10.1007/978-3-319-44684-4_6
61,Persistent Homology for the Evaluation of Dimensionality Reduction Schemes,"Rieck, B.; Leitte, H.",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2015,,,3,,,3,,,,,,,,3,,,3,,,,,,,Rieck et al.,rieck15cgf,Rieck et al. \cite{rieck15cgf},54,0,Seeker,10.1111/cgf.12655
28,Scale-independent quality criteria for dimensionality reduction,J. A. Lee and M. Verleysen,PRL,Pattern Recognition Letters,Machine Learning and Artificial Intelligence,2010,,,3,,,3,3,,,,,,3,3,,,3,,,,,,,Lee and Verleysen,lee10prl,Lee and Verleysen \cite{lee10prl},55,0,Seeker,10.1016/j.patrec.2010.04.013
37,Perception-based visual quality measures,"G. Albuquerque, M. Eisemann, and M. Magnor",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2011,,,3,,,3,,,,,,,3,,,,3,,,,,,,Albuquerque et al.,albuquerque11vast,Albuquerque et al. \cite{albuquerque11vast},56,0,Seeker,10.1109/vast.2011.6102437
118,Effectiveness Error: Measuring and Improving RadViz Visual Effectiveness,M. Angelini; G. Blasilli; S. Lenti; A. Palleschi; G. Santucci,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2022,,,3,,3,,3,,,,,,3,,,3,3,,,,,,,Angelini et al.,angelini22tvcg,Angelini et al. \cite{angelini22tvcg},57,0,Seeker,10.1109/tvcg.2021.3104879
119,Measuring and Explaining the Inter-Cluster Reliability of Multidimensional Projections,H. Jeon; H. -K. Ko; J. Jo; Y. Kim; J. Seo,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,3,,3,3,,,,,,,3,3,,,3,,,,,,,Jeon et al.,jeon21tvcg,Jeon et al. \cite{jeon21tvcg},58,0,Seeker,10.1109/tvcg.2021.3114833
0,Multidimensional scaling by optimizing goodness of fit to a nonmetric hypothesis,J.B. KRUSKAL,Psycho,Psychometrika,Statistics,1964,,,3,,3,,,,,,,,3,,,,3,,,,,,,Kruskal,kruskal64psycho,Kruskal \cite{kruskal64psycho},59,0,Seeker,10.1007/bf02289565
58,Sanity check for class-coloring-based evaluation of dimension reduction techniques,M. Aupetit,BELIV,Proceedings of the Fifth Workshop on Beyond Time and Errors: Novel Evaluation Methods for Visualization,Visualization and Visual Analytics,2014,,,3,,3,,,,,,,3,3,3,,,3,,,,,,,Aupetit,aupetit14beliv,Aupetit \cite{aupetit14beliv},60,0,Seeker,10.1145/2669557.2669578
131,Classes are Not Clusters: Improving Label-Based Evaluation of Dimensionality Reduction,H. Jeon; Y. -H. Kuo; M. Aupetit; K. -L. Ma; J. Seo,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2024,,,3,,3,,,,,,,,3,3,,,3,,,,,,,Jeon et al.,jeon24tvcg,Jeon et al. \cite{jeon24tvcg},61,0,Seeker,10.1109/tvcg.2023.3327187
128,Interpreting High-Dimensional Projections With Capacity,Y. Zhang; J. Liu; C. Lai; Y. Zhou; S. Chen,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2023,,,3,,,3,,,,,,,3,,3,,,,,3,,,,Zhang et al.,zhang23tvcg,Zhang et al. \cite{zhang23tvcg},62,0,Seeker,10.1109/tvcg.2023.3324851/mm1
18,Interactive Dimensionality Reduction Through User-defined Combinations of Quality Metrics,S. Johansson; J. Johansson,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2009,,,3,,,,,,,3,3,,3,,3,,3,,,3,,,,Johansson and Johansson,johansson09tvcg,Johansson and Johansson \cite{johansson09tvcg},63,0,Seeker,10.1109/tvcg.2009.153
25,Improving the visual analysis of high-dimensional datasets using quality measures,"G. Albuquerque, M. Eisemann, D. J. Lehmann, H. Theisel, and M. Magnor",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2010,,,3,3,,,,,,3,,,3,,,,3,,,,,,,Albuquerque et al.,albuquerque10vast,Albuquerque et al. \cite{albuquerque10vast},64,0,Seeker,10.1109/vast.2010.5652433
44,Empirical guidance on scatterplot and dimension reduction technique choices,"M. Sedlmair, T. Munzner, and M. Tory",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2013,,,,3,,,,,,,,3,,3,,,,,,,,3,,Sedlmair et al.,sedlmair13tvcg,Sedlmair et al. \cite{sedlmair13tvcg},65,2,Instructor,10.1109/tvcg.2013.153
13,Local multidimensional scaling,J. Venna and S. Kaski,NN,Neural Networks,Machine Learning and Artificial Intelligence,2006,,3,,,,3,,,,,,,,3,,3,,,,,,,3,Venna and Kaski,venna06nn,Venna and Kaski \cite{venna06nn},66,2,Instructor,10.1007/0-387-28981-x_13
49,Stability comparison of dimensionality reduction techniques attending to data and parameter variations,"F. J. García Fernández, M. Verleysen, J. A. Lee, I. Díaz Blanco, et al.",VAMP,"Proc. Workshop on Visual Analytics using Multidimensional Projections, VAMP ’13",Visualization and Visual Analytics,2013,3,3,,,,3,3,,,,,,,3,,,,,,,,,3,García fernández et al.,garcíafernández13vamp,García fernández et al. \cite{garcíafernández13vamp},67,2,Instructor,10.32614/cran.package.logisticpca
78,A survey of dimensionality reduction techniques based on random projection,"H. Xie, J. Li, and H. Xue",arXiv,arXiv:1706.04371 [cs.LG],Machine Learning and Artificial Intelligence,2017,3,3,,,3,,3,,,,,3,,3,,,,,,,3,,,Xie et al.,xie17arxiv,Xie et al. \cite{xie17arxiv},68,2,Instructor,10.31235/osf.io/36neu
116,Initialization is critical for preserving global data structure in both t-SNE and UMAP,D. Kobak and G. C. Linderman,NB,Nature Biotechnology,Multidisciplinary,2021,,3,,,,,3,,,,,3,,3,,3,,,,,,,,Kobak and Linderman,kobak21nb,Kobak and Linderman \cite{kobak21nb},69,2,Instructor,10.1038/s41587-020-00809-z
104,A comparative user study of visualization techniques for cluster analysis of multidimensional data sets,E. Ventocilla and M. Riveiro,IVIS,Information Visualization,Visualization and Visual Analytics,2020,,3,,,,3,3,,,,,3,,3,,,,,,,,3,,Ventocilla and Riveiro,ventocilla20ivis,Ventocilla and Riveiro \cite{ventocilla20ivis},70,2,Instructor,10.1177/1473871620922166
120,Revisiting Dimensionality Reduction Techniques for Visual Cluster Analysis: An Empirical Study,J. Xia; Y. Zhang; J. Song; Y. Chen; Y. Wang; S. Liu,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2022,,3,,,,,,,,,,3,,3,,,,,,,,3,,Xia et al.,xia22tvcg,Xia et al. \cite{xia22tvcg},71,2,Instructor,10.1109/tvcg.2021.3114694
92,"Multidimensional Projection for Visual Analytics: Linking Techniques with Distortions, Tasks, and Layout Enrichment",L. G. Nonato; M. Aupetit,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2019,,3,3,3,,,,,,,,3,,3,,,,,,,3,,,Nonato and Aupetit,nonato19tvcg,Nonato and Aupetit \cite{nonato19tvcg},72,2,Instructor,10.1109/tvcg.2018.2846735
68,"Linear dimensionality reduction: Survey, insights, and generalizations",J. Cunningham and Z. Ghahramani,jmlr,"Journal of Machine Learning Research, Volume 16, Issue 1",Machine Learning and Artificial Intelligence,2015,,3,,,,,,,,,,3,,3,,3,,,,,3,,,Cunningham and Ghahramani,cunningham15jmlr,Cunningham and Ghahramani \cite{cunningham15jmlr},73,2,Instructor,10.1201/b16252-9
40,A survey of dimension reduction methods for high-dimensional data analysis and visualization,"D. Engel, L. Huttenberger, and B. Hamann",IRTG,Proceedings of IRTG,Visualization and Visual Analytics,2012,,3,,,,3,,,,,,3,,3,,,,,,,3,,,Engel et al.,engel12irtg,Engel et al. \cite{engel12irtg},74,2,Instructor,10.1117/12.2257896.5427848128001
55,A survey of dimensionality reduction techniques,"C. O. S. Sorzano, J. Vargas, and A. Pascual-Montano",arXiv,arXiv:1403.2877 [stat.ML],Preprints,2014,,3,,,,,,,,,,3,,3,,,,,,,3,,3,Sorzano et al.,sorzano14arxiv,Sorzano et al. \cite{sorzano14arxiv},75,2,Instructor,10.32614/cran.package.logisticpca
64,Data visualization by nonlinear dimensionality reduction,A. Gisbrecht and B. Hammer,dmkd,WIREs Data Mining and Knowledge Discovery,Data Mining,2015,,3,,,,,,,,,,3,,3,,,,,,,3,,,Gisbrecht and Hammer,gisbrecht15dmkd,Gisbrecht and Hammer \cite{gisbrecht15dmkd},76,2,Instructor,10.1201/9781003190554-1
111,Toward a Quantitative Survey of Dimension Reduction Techniques,M. Espadoto; R. M. Martins; A. Kerren; N. S. T. Hirata; A. C. Telea,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,,,,,,,,,,3,,3,,,,,,,3,,,Espadoto et al.,espadoto21tvcg,Espadoto et al. \cite{espadoto21tvcg},77,2,Instructor,10.2172/15002155
89,VisCoDeR: A tool for visually comparing dimensionality reduction algorithms,"R. Cutura, S. Holzer, M. Aupetit, and M. Sedlmair",ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",Machine Learning and Artificial Intelligence,2018,,3,,,,,,,,,,3,,3,,,,,,3,,,,Cutura et al.,cutura18esann,Cutura et al. \cite{cutura18esann},78,2,Instructor,10.1201/b16017-12
132,Large-Scale Evaluation of Topic Models and Dimensionality Reduction Methods for 2D Text Spatialization,D. Atzberger; T. Cech; M. Trapp; R. Richter; W. Scheibel; J. Döllner; T. Schreck,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2024,3,3,,,,,,,,,,3,,3,,,,,,,,,3,Atzberger et al.,atzberger24tvcg,Atzberger et al. \cite{atzberger24tvcg},79,2,Instructor,10.1109/tvcg.2023.3326569/mm1
19,Dimensionality reduction: A comparative review,L. van der Maaten and E. Postma,jmlr,"	Journal of Machine Learning Research",Preprints,2009,,3,,,,,,,,,,3,,3,,,,,,,,,3,Van der maaten and Postma,vandermaaten09jmlr,Van der maaten and Postma \cite{vandermaaten09jmlr},80,2,Instructor,10.1201/9781003190554-14
71,A comparative study between RadViz and Star Coordinates,M. Rubio-Sánchez; L. Raya; F. Díaz; A. Sanchez,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2016,,3,,,,3,,,,,,3,,3,,,,,,,,,3,Rubio-sánchez et al.,rubio-sánchez16tvcg,Rubio-sánchez et al. \cite{rubio-sánchez16tvcg},81,2,Instructor,10.1109/tvcg.2015.2467324
21,Quality assessment of dimensionality reduction: Rank-based criteria,Lee and Verleysen,Neurocomp,Neurocomputing,Machine Learning and Artificial Intelligence,2009,,,3,,3,3,,,,3,,3,,3,,,,,,,,,3,Lee and  verleysen,lee09neurocomp,Lee and  verleysen \cite{lee09neurocomp},82,2,Instructor,10.1016/j.neucom.2008.12.017
100,"Spectral overlap and a comparison of parameter-free, dimensionality reduction quality metrics",J. Johannemann and R. Tibshirani,arXiv,arXiv:1907.01974,Machine Learning and Artificial Intelligence,2019,,,3,,,,3,,,3,,,,3,,,,,,,,,3,Johannemann and Tibshirani,johannemann19arxiv,Johannemann and Tibshirani \cite{johannemann19arxiv},83,2,Instructor,10.7717/peerj.15838/table-3
60,Perception-Based Evaluation of Projection Methods for Multidimensional Data Visualization,R. Etemadpour; R. Motta; J. G. d. S. Paiva; R. Minghim; M. C. F. de Oliveira; L. Linsen,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2015,,3,3,,,3,,,,,3,,,3,,,,,,,,3,,Etemadpour et al.,etemadpour15tvcg,Etemadpour et al. \cite{etemadpour15tvcg},84,2,Instructor,10.1109/tvcg.2014.2330617
31,Visual quality metrics and human perception: An initial study on 2D projections of large multidimensional data,"A. Tatu, P. Bak, E. Bertini, D. A. Keim, and J. Schneidewind",AVI,Proceedings of the International Conference on Advanced Visual Interfaces,Visualization and Visual Analytics,2010,,,3,,,,,3,,,,,,3,,,,,,,,3,,Tatu et al.,tatu10avi,Tatu et al. \cite{tatu10avi},85,2,Instructor,10.1145/1842993.1843002
52,Visualizing the quality of dimensionality reduction,"W. Lueks, A. Gisbrecht, and B. Hammer",Neurocomp,Neurocomputing,Machine Learning and Artificial Intelligence,2013,,,3,,,,3,3,,,,,3,3,,,,,,,3,,,Lueks et al.,lueks13neurocomp,Lueks et al. \cite{lueks13neurocomp},86,2,Instructor,10.1016/j.neucom.2012.11.046
84,The Subspace Voyager: Exploring high-dimensional data along a continuum of salient 3D subspaces,B. Wang and K. Mueller,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2017,3,,,,,,,,3,,,,,,3,,,3,,3,,,,Wang and Mueller,wang17tvcg,Wang and Mueller \cite{wang17tvcg},87,4,Explorer,10.1109/tvcg.2017.2672987
11,Dust & magnet: multivariate information visualization using a magnet metaphor,"Yi, R. Melton, J. T. Stasko, and J. A. Jacko",IVIS,Information Visualization,Visualization and Visual Analytics,2005,,,,3,,,,3,3,,,,,,3,,,3,,,,,,Yi et al.,yi05ivis,Yi et al. \cite{yi05ivis},88,4,Explorer,10.1057/palgrave.ivs.9500099
2,The grand tour: A tool for viewing multidimensional data,D. Asimov,SIAM,SIAM Journal on Scientific and Statistical Computing,Statistics,1985,,,,3,,,,,3,,,,,,3,,,3,,,,,,Asimov,asimov85siam,Asimov \cite{asimov85siam},89,4,Explorer,10.1137/0906011
4,Grand tour and projection pursuit,"D. Cook, A. Buja, J. Cabrera, and C. Hurley",JCGS,Journal of Computational and Graphical Statistics,Statistics,1995,,,,3,,,,,3,,,,,,3,,,3,,,,,,Cook et al.,cook95jcgs,Cook et al. \cite{cook95jcgs},90,4,Explorer,10.32614/cran.package.pursuit
50,TripAdvisor N-D: A tourism-inspired high-dimensional space exploration framework with overview and detail,J. E. Nam and K. Mueller,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2013,,,,3,,,,,3,,,,,,3,,,,,3,,,,Nam and Mueller,nam13tvcg,Nam and Mueller \cite{nam13tvcg},91,4,Explorer,10.1109/tvcg.2012.65
76,The Grassmannian Atlas: A general framework for exploring linear projections of high-dimensional data,"S. Liu, P.-T. Bremer, J. Jayaraman, B. Wang, B. Summa, and V. Pascucci",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2016,,,,3,,,,,3,,,,,,3,,,,3,,,,,Liu et al.,liu16cgf,Liu et al. \cite{liu16cgf},92,4,Explorer,10.1111/cgf.12876
16,Visualizing distortions and recovering topology in continuous projection techniques,M. Aupetit,Neurocomp,Neurocomputing,Machine Learning and Artificial Intelligence,2007,,3,,,3,,,,,,,,,3,,,3,3,,,,,,Aupetit,aupetit07neurocomp,Aupetit \cite{aupetit07neurocomp},93,6,Interpreter,10.1016/j.neucom.2006.11.018
30,Techniques for precision-based visual analysis of projected data,"SCHRECK T., VON LANDESBERGER T., BREMM S.",VDA,Proceedings of SPIE-IS and T Electronic Imaging - Visualization and Data Analysis,Visualization and Visual Analytics,2010,,3,,,3,,,,,,,,3,3,,,3,3,,,,,,Schreck t. et al.,schreckt.10vda,Schreck t. et al. \cite{schreckt.10vda},94,6,Interpreter,10.1117/12.838720
65,Explaining neighborhood preservation for multidimensional projections,"R. M. Martins, R. Minghim, A. C. Telea, et al.",SVCG,Scientific Visualization and Computer Graphics,Visualization and Visual Analytics,2015,,3,3,,3,,,,,,,,3,3,,,3,3,,,,,,Martins et al.,martins15svcg,Martins et al. \cite{martins15svcg},95,6,Interpreter,10.2139/ssrn.4772786
29,Stress maps: Analysing local phenomena in dimensionality reduction based visualisations,"C. Seifert, V. Sabol, and W. Kienreich",EuroVA,EuroVA: International Workshop on Visual Analytics,Visualization and Visual Analytics,2010,,3,3,,3,,,3,,,,,3,3,,,,3,,,,,,Seifert et al.,seifert10eurova,Seifert et al. \cite{seifert10eurova},96,6,Interpreter,10.14293/p2199-8442.1.sop-phys.p7fsu7.v1
47,Proxilens: Interactive exploration of high-dimensional data using projections,"N. Heulot, M. Aupetit, and J. D. Fekete",VAMP,EuroVis Workshop on Visual Analytics using Multidimensional Projections,Visualization and Visual Analytics,2013,,3,,3,3,,,3,,,,,3,3,,,,3,,,,,,Heulot et al.,heulot13vamp,Heulot et al. \cite{heulot13vamp},97,6,Interpreter,10.1109/vds48975.2019.8973381
122,Distortion-aware brushing for interactive cluster analysis in multidimensional projections,"H. Jeon, M. Aupetit, S. Lee, H.-K. Ko, Y. Kim, and J. Seo",arXiv,arXiv,Preprints,2022,,3,,3,3,,,,,,,,3,3,,,,3,,,,,,Jeon et al.,jeon22arxiv,Jeon et al. \cite{jeon22arxiv},98,6,Interpreter,10.11606/d.55.2017.tde-16012017-095849
59,Visual analysis of dimensionality reduction quality for parameterized projections,"R. M. Martins, D. B. Coimbra, R. Minghim, and A. C. Telea",CG,Computers & Graphics,Visualization and Visual Analytics,2014,,3,,,3,,3,,,,,,,3,,,,3,,,,,,Martins et al.,martins14cg,Martins et al. \cite{martins14cg},99,6,Interpreter,10.1016/j.cag.2014.01.006
33,CheckViz: Sanity Check and Topological Clues for Linear and Non-Linear Mappings,"Lespinats, Sylvain; Aupetit, Micha√´l",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2011,,3,3,,3,,,,,,,,,3,,,,3,,,,,,Lespinats et al.,lespinats11cgf,Lespinats et al. \cite{lespinats11cgf},100,6,Interpreter,10.1111/j.1467-8659.2010.01835.x
91,Interpreting Distortions in Dimensionality Reduction by Superimposing Neighbourhood Graphs,B. Colange; L. Vuillon; S. Lespinats; D. Dutykh,VIS,IEEE Visualization Conference,Visualization and Visual Analytics,2019,,,3,,3,,,,,,,,,3,,,,3,,,,,,Colange et al.,colange19vis,Colange et al. \cite{colange19vis},101,6,Interpreter,10.1109/visual.2019.8933568
75,InterAxis: Steering scatterplot axes via observation-level interaction,"H. Kim, J. Choo, H. Park, and A. Endert",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2016,,,,3,,3,,3,,,3,,,,3,,,3,,,,,,Kim et al.,kim16tvcg,Kim et al. \cite{kim16tvcg},102,6,Interpreter,10.1109/tvcg.2015.2467615
80,AxiSketcher: Interactive nonlinear axis mapping of visualizations through user drawings,"B. C. Kwon, H. Kim, E. Wall, J. Choo, H. Park, and A. Endert",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2017,,3,,3,,3,,3,,,3,3,,,3,,,3,,,,,,Kwon et al.,kwon17tvcg,Kwon et al. \cite{kwon17tvcg},103,6,Interpreter,10.1109/tvcg.2016.2598446
42,"Just-in-time annotation of clusters, outliers, and trends in point-based data visualizations",E. Kandogan,VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2012,,,,3,,,,3,,,,,,,3,,,3,,,,,,Kandogan,kandogan12vast,Kandogan \cite{kandogan12vast},104,6,Interpreter,10.1109/vast.2012.6400487
74,Explaining three-dimensional dimensionality reduction plots,"D. B. Coimbra, R. M. Martins, T. T. Neves, A. C. Telea, and F. V. Paulovich",IVIS,Information Visualization,Visualization and Visual Analytics,2016,,3,,3,,,,3,,,,,,,3,,,3,,,,,,Coimbra et al.,coimbra16ivis,Coimbra et al. \cite{coimbra16ivis},105,6,Interpreter,10.1177/1473871615600010
97,DimReader: axis lines that explain non-linear projections,"R. Faust, D. Glickenstein, and C. Scheidegger",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2019,,3,,3,,,,3,,,,,,3,3,,,3,,,,,,Faust et al.,faust19tvcg,Faust et al. \cite{faust19tvcg},106,6,Interpreter,10.1109/tvcg.2018.2865194
