Num,Title,Authors,Venue Abrev.,Venue,Field,Year,Preprocessing,Dimensionality Reduction,Quantitative Evaluation,Visualization,inaccuate,suboptimal,unstable,uninterpretable,unscalable,incomplete,irrefective,uninformed,Enhance reliability,Enhance awareness,Enhance Approchability,Improvements on DR,Improvements of Evaluation,Visualization Stage Solutions,DR framework,Visual Analytics System,Literature Review,Human-Centered Experiment,Computaional Experiment,FirstAuthor,BibIdentifier,FirstAuthorBib,Order,Group,GroupName,doi
121,VisExPreS: A Visual Interactive Toolkit for User-Driven Evaluations of Embeddings,A. Ghosh; M. Nashaat; J. Miller; S. Quader,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2022,,,3,3,,,,3,,,3,3,,3,3,,,,,3,,,,Ghosh et al.,ghosh22tvcg,Ghosh et al. \cite{ghosh22tvcg},122,1,Architect,10.1109/tvcg.2020.3039106
41,Dis-function: Learning distance functions interactively,"E. T. Brown, J. Liu, C. E. Brodley, and R. Chang",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2012,,3,,,,,,,,,3,,,,3,,,,,3,,,,Brown et al.,brown12vast,Brown et al. \cite{brown12vast},123,1,Architect,10.1109/vast.2012.6400486
43,An interactive visual testbed system for dimension reduction and clustering of large-scale highdimensional data,"J. Choo, H. Lee, Z. Liu, J. Stasko, and H. Park",VDA,Proceedings of SPIE-IS and T Electronic Imaging - Visualization and Data Analysis,Visualization and Visual Analytics,2013,3,3,,,,,,,,3,,3,,,3,,,,,3,,,,Choo et al.,choo13vda,Choo et al. \cite{choo13vda},124,1,Architect,10.1117/12.2007316
48,Quality-based guidance for exploratory dimensionality reduction,"FERNSTAD, SHAW J., JOHANSSON J.",IVIS,Information Visualization,Visualization and Visual Analytics,2013,,3,3,,,3,,,3,3,,,,,3,,,,,3,,,,Fernstad et al.,fernstad13ivis,Fernstad et al. \cite{fernstad13ivis},125,1,Architect,10.1177/1473871612460526
32,Brushing Dimensions - A Dual Visual Analysis Model for High-Dimensional Data,C. Turkay; P. Filzmoser; H. Hauser,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2011,,3,,,,,,3,3,3,,,,,3,,,,,3,,,,Turkay et al.,turkay11tvcg,Turkay et al. \cite{turkay11tvcg},126,1,Architect,10.1109/tvcg.2011.178
112,Visual Analysis of Class Separations With Locally Linear Segments,Y. Ma; R. Maciejewski,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,,,,,,3,,3,,,3,,3,,,,,3,,,,Ma and Maciejewski,ma21tvcg,Ma and Maciejewski \cite{ma21tvcg},127,1,Architect,10.1109/tvcg.2020.3011155
101,Efficient Morphing of Shape-preserving Star Coordinates,V. Molchanov; S. Hamid; L. Linsen,PacificVis,IEEE Pacific Visualization Symposium,Visualization and Visual Analytics,2020,,3,,,,,3,,,3,,,,,3,,,3,,,,,,Molchanov et al.,molchanov20pacificvis,Molchanov et al. \cite{molchanov20pacificvis},128,1,Architect,10.1109/pacificvis48177.2020.8199
125,Feature Learning for Nonlinear Dimensionality Reduction toward Maximal Extraction of Hidden Patterns,T. Fujiwara; Y. -H. Kuo; A. Ynnerman; K. -L. Ma,PacificVis,IEEE Pacific Visualization Symposium,Visualization and Visual Analytics,2023,,3,,,,,3,,,3,,,,3,3,,,,3,,,,,Fujiwara et al.,fujiwara23pacificvis,Fujiwara et al. \cite{fujiwara23pacificvis},129,1,Architect,10.1109/pacificvis56936.2023.00021
81,Ldsscanner: Exploratory analysis of low-dimensional structures in high-dimensional datasets,"J. Xia, F. Ye, W. Chen, Y. Wang, W. Chen, Y. Ma, and A. K. Tung",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2017,3,3,,,,,3,,,3,,,3,3,,,,,,3,,,,Xia et al.,xia17tvcg,Xia et al. \cite{xia17tvcg},130,1,Architect,10.1109/tvcg.2017.2744098
9,Visualization methodology for multidimensional scaling,A. Buja and D. F. Swayne,Classification,Journal of Classification,Machine Learning and Artificial Intelligence,2002,3,3,,,3,,3,,,,,,,3,3,,,,,3,,,,Buja and Swayne,buja02classification,Buja and Swayne \cite{buja02classification},131,1,Architect,10.1007/s00357-001-0031-0
123,EvoSets: Tracking the sensitivity of dimensionality reduction results across subspaces,"G. Sun, S. Zhu, Q. Jiang, W. Xia, and R. Liang",BD,IEEE Transaction on Big Data,Machine Learning and Artificial Intelligence,2022,3,3,,3,,,3,,3,,,,,3,3,,,,,3,,,,Sun et al.,sun22bd,Sun et al. \cite{sun22bd},132,1,Architect,10.1109/tbdata.2021.3079200
